Warehouse ID,Product ID,Product Name,Category,Quantity in Stock,Location,Supplier,Restock Frequency,Average Delivery Time (days),Stock Value (USD),Storage Temperature (C),Shelf Life (days),Hazardous Material,Reorder Level,Daily Sales (units),Daily Restock (units),Stock Level (units),Sales Forecast (units),Latitude,Longitude,State,timestamp
7,173,Laptop,Footwear,85.0,New York,Supplier A,Quarterly,2.0,802.96,20.1,152.0,No,89.0,34.0,41,406,7,40.7128,-74.006,NY,
4,160,Sneakers,Electronics,214.0,Houston,Supplier B,Weekly,14.0,360.45,9.1,281.0,Yes,45.0,5.0,23,413,2,29.7604,-95.3698,TX,
8,142,Sneakers,Footwear,115.0,Houston,Supplier A,Weekly,7.0,569.17,-3.6,349.0,Yes,96.0,33.0,33,189,10,29.7604,-95.3698,TX,
5,124,T-Shirt,Clothing,437.0,Chicago,Supplier D,Quarterly,3.0,806.76,0.3,187.0,Yes,79.0,46.0,8,317,3,41.8781,-87.6298,IL,
7,119,Laptop,Footwear,314.0,New York,Supplier D,Weekly,7.0,246.39,10.2,356.0,No,71.0,9.0,49,27,17,40.7128,-74.006,NY,
3,147,Bananas,Footwear,293.0,Los Angeles,Supplier A,Quarterly,9.0,884.15,-9.2,178.0,Yes,97.0,17.0,16,431,43,34.0522,-118.2437,CA,
7,182,Bananas,Footwear,49.0,Houston,Supplier C,Quarterly,12.0,953.55,7.0,94.0,No,79.0,12.0,15,340,1,29.7604,-95.3698,TX,
8,186,Sofa,Groceries,67.0,Chicago,Supplier A,Monthly,11.0,48.58,17.1,33.0,No,19.0,24.0,41,142,34,41.8781,-87.6298,IL,
5,123,Sneakers,Groceries,275.0,Houston,Supplier B,Weekly,1.0,68.52,10.7,203.0,No,95.0,12.0,40,7,13,29.7604,-95.3698,TX,
4,110,Sneakers,Groceries,129.0,Phoenix,Supplier C,Weekly,3.0,100.05,13.9,165.0,No,96.0,15.0,26,399,14,33.4484,-112.074,AZ,
8,197,Laptop,Footwear,29.0,Houston,Supplier B,Monthly,13.0,779.0,3.1,273.0,Yes,14.0,16.0,14,430,17,29.7604,-95.3698,TX,
8,154,Bananas,Clothing,343.0,New York,Supplier B,Weekly,11.0,197.44,-2.7,89.0,Yes,37.0,23.0,12,412,34,40.7128,-74.006,NY,
3,127,Sofa,Footwear,33.0,Chicago,Supplier C,Monthly,6.0,728.44,22.4,74.0,Yes,68.0,18.0,27,427,17,41.8781,-87.6298,IL,
6,168,Laptop,Electronics,119.0,New York,Supplier D,Weekly,13.0,446.86,26.2,101.0,Yes,18.0,22.0,47,10,41,40.7128,-74.006,NY,
5,162,Sneakers,Clothing,180.0,Los Angeles,Supplier B,Quarterly,9.0,837.89,10.4,124.0,Yes,48.0,46.0,31,179,25,34.0522,-118.2437,CA,
2,158,Bananas,Groceries,425.0,Los Angeles,Supplier A,Monthly,5.0,810.47,2.2,60.0,Yes,71.0,44.0,4,3,44,34.0522,-118.2437,CA,
8,104,Sofa,Furniture,151.0,Houston,Supplier D,Quarterly,3.0,960.07,10.4,185.0,No,98.0,31.0,30,460,30,29.7604,-95.3698,TX,
6,150,T-Shirt,Clothing,133.0,Chicago,Supplier D,Quarterly,8.0,258.53,25.2,269.0,Yes,47.0,43.0,4,461,48,41.8781,-87.6298,IL,
2,120,Bananas,Groceries,327.0,Chicago,Supplier C,Weekly,13.0,236.95,17.7,93.0,No,33.0,15.0,31,103,36,41.8781,-87.6298,IL,
5,111,Sofa,Clothing,185.0,Chicago,Supplier A,Monthly,14.0,41.19,24.3,352.0,No,73.0,21.0,34,300,11,41.8781,-87.6298,IL,
1,149,Laptop,Clothing,134.0,Chicago,Supplier A,Quarterly,12.0,416.31,3.1,138.0,No,52.0,8.0,4,54,21,41.8781,-87.6298,IL,
6,103,T-Shirt,Footwear,177.0,Houston,Supplier D,Quarterly,5.0,464.47,18.5,97.0,No,25.0,49.0,20,162,20,29.7604,-95.3698,TX,
9,141,Sofa,Electronics,22.0,New York,Supplier B,Monthly,6.0,964.87,16.1,64.0,Yes,75.0,40.0,18,449,29,40.7128,-74.006,NY,
1,183,Sofa,Furniture,241.0,Houston,Supplier B,Weekly,13.0,832.48,12.9,280.0,Yes,75.0,36.0,47,230,4,29.7604,-95.3698,TX,
3,137,Sneakers,Groceries,77.0,New York,Supplier A,Quarterly,2.0,175.12,11.1,65.0,No,78.0,42.0,8,345,34,40.7128,-74.006,NY,
7,124,Bananas,Clothing,204.0,Phoenix,Supplier D,Weekly,4.0,800.5,12.0,161.0,No,55.0,38.0,42,211,42,33.4484,-112.074,AZ,
4,113,Sneakers,Furniture,4.0,Phoenix,Supplier D,Monthly,1.0,186.52,24.0,334.0,Yes,30.0,6.0,2,281,41,33.4484,-112.074,AZ,
