Warehouse ID,Product ID,Product Name,Category,Quantity in Stock,Location,Supplier,Restock Frequency,Average Delivery Time (days),Stock Value (USD),Storage Temperature (C),Shelf Life (days),Hazardous Material,Reorder Level,Daily Sales (units),Daily Restock (units),Stock Level (units),Sales Forecast (units),Latitude,Longitude,State
7,173,Laptop,Footwear,85,New York,Supplier A,Quarterly,2,802.96,20.1,152,No,89,34,41,406,7,40.7128,-74.006,NY
4,160,Sneakers,Electronics,214,Houston,Supplier B,Weekly,14,360.45,9.1,281,Yes,45,5,23,413,2,29.7604,-95.3698,TX
8,142,Sneakers,Footwear,115,Houston,Supplier A,Weekly,7,569.17,-3.6,349,Yes,96,33,33,189,10,29.7604,-95.3698,TX
5,124,T-Shirt,Clothing,437,Chicago,Supplier D,Quarterly,3,806.76,0.3,187,Yes,79,46,8,317,3,41.8781,-87.6298,IL
7,119,Laptop,Footwear,314,New York,Supplier D,Weekly,7,246.39,10.2,356,No,71,9,49,27,17,40.7128,-74.006,NY
3,147,Bananas,Footwear,293,Los Angeles,Supplier A,Quarterly,9,884.15,-9.2,178,Yes,97,17,16,431,43,34.0522,-118.2437,CA
7,182,Bananas,Footwear,49,Houston,Supplier C,Quarterly,12,953.55,7.0,94,No,79,12,15,340,1,29.7604,-95.3698,TX
8,186,Sofa,Groceries,67,Chicago,Supplier A,Monthly,11,48.58,17.1,33,No,19,24,41,142,34,41.8781,-87.6298,IL
5,123,Sneakers,Groceries,275,Houston,Supplier B,Weekly,1,68.52,10.7,203,No,95,12,40,7,13,29.7604,-95.3698,TX
4,110,Sneakers,Groceries,129,Phoenix,Supplier C,Weekly,3,100.05,13.9,165,No,96,15,26,399,14,33.4484,-112.074,AZ
8,197,Laptop,Footwear,29,Houston,Supplier B,Monthly,13,779.0,3.1,273,Yes,14,16,14,430,17,29.7604,-95.3698,TX
8,154,Bananas,Clothing,343,New York,Supplier B,Weekly,11,197.44,-2.7,89,Yes,37,23,12,412,34,40.7128,-74.006,NY
3,127,Sofa,Footwear,33,Chicago,Supplier C,Monthly,6,728.44,22.4,74,Yes,68,18,27,427,17,41.8781,-87.6298,IL
6,168,Laptop,Electronics,119,New York,Supplier D,Weekly,13,446.86,26.2,101,Yes,18,22,47,10,41,40.7128,-74.006,NY
5,162,Sneakers,Clothing,180,Los Angeles,Supplier B,Quarterly,9,837.89,10.4,124,Yes,48,46,31,179,25,34.0522,-118.2437,CA
2,158,Bananas,Groceries,425,Los Angeles,Supplier A,Monthly,5,810.47,2.2,60,Yes,71,44,4,3,44,34.0522,-118.2437,CA
8,104,Sofa,Furniture,151,Houston,Supplier D,Quarterly,3,960.07,10.4,185,No,98,31,30,460,30,29.7604,-95.3698,TX
6,150,T-Shirt,Clothing,133,Chicago,Supplier D,Quarterly,8,258.53,25.2,269,Yes,47,43,4,461,48,41.8781,-87.6298,IL
2,120,Bananas,Groceries,327,Chicago,Supplier C,Weekly,13,236.95,17.7,93,No,33,15,31,103,36,41.8781,-87.6298,IL
5,111,Sofa,Clothing,185,Chicago,Supplier A,Monthly,14,41.19,24.3,352,No,73,21,34,300,11,41.8781,-87.6298,IL
1,149,Laptop,Clothing,134,Chicago,Supplier A,Quarterly,12,416.31,3.1,138,No,52,8,4,54,21,41.8781,-87.6298,IL
6,103,T-Shirt,Footwear,177,Houston,Supplier D,Quarterly,5,464.47,18.5,97,No,25,49,20,162,20,29.7604,-95.3698,TX
9,141,Sofa,Electronics,22,New York,Supplier B,Monthly,6,964.87,16.1,64,Yes,75,40,18,449,29,40.7128,-74.006,NY
1,183,Sofa,Furniture,241,Houston,Supplier B,Weekly,13,832.48,12.9,280,Yes,75,36,47,230,4,29.7604,-95.3698,TX
3,137,Sneakers,Groceries,77,New York,Supplier A,Quarterly,2,175.12,11.1,65,No,78,42,8,345,34,40.7128,-74.006,NY
7,124,Bananas,Clothing,204,Phoenix,Supplier D,Weekly,4,800.5,12.0,161,No,55,38,42,211,42,33.4484,-112.074,AZ
4,113,Sneakers,Furniture,4,Phoenix,Supplier D,Monthly,1,186.52,24.0,334,Yes,30,6,2,281,41,33.4484,-112.074,AZ
9,174,T-Shirt,Clothing,328,New York,Supplier D,Weekly,14,86.99,26.6,251,No,69,17,9,447,17,40.7128,-74.006,NY
3,131,Sofa,Electronics,448,Houston,Supplier C,Monthly,13,838.71,-5.5,196,Yes,19,40,16,70,12,29.7604,-95.3698,TX
5,110,Sneakers,Furniture,165,Los Angeles,Supplier A,Weekly,4,976.2,12.8,303,No,27,45,22,301,4,34.0522,-118.2437,CA
3,160,Bananas,Groceries,415,Houston,Supplier A,Weekly,1,97.24,26.7,89,No,99,47,12,68,41,29.7604,-95.3698,TX
7,117,T-Shirt,Clothing,421,Los Angeles,Supplier B,Quarterly,4,815.79,-4.6,142,Yes,93,36,5,282,14,34.0522,-118.2437,CA
5,126,Laptop,Electronics,128,Houston,Supplier B,Weekly,14,860.62,6.5,250,Yes,50,28,39,282,4,29.7604,-95.3698,TX
9,154,Sneakers,Furniture,45,Chicago,Supplier A,Quarterly,2,127.57,-6.4,308,Yes,45,47,15,154,34,41.8781,-87.6298,IL
7,153,T-Shirt,Clothing,218,Chicago,Supplier A,Monthly,6,290.42,-5.5,97,Yes,94,23,45,462,18,41.8781,-87.6298,IL
2,181,Laptop,Clothing,235,Phoenix,Supplier B,Monthly,6,736.32,26.2,344,Yes,75,31,8,446,13,33.4484,-112.074,AZ
4,186,Sneakers,Groceries,136,Phoenix,Supplier A,Quarterly,8,809.65,7.8,292,Yes,55,46,24,224,10,33.4484,-112.074,AZ
9,174,T-Shirt,Electronics,168,New York,Supplier B,Weekly,9,360.43,17.5,298,Yes,32,11,19,368,14,40.7128,-74.006,NY
2,120,T-Shirt,Footwear,481,Los Angeles,Supplier A,Monthly,8,168.33,-4.4,160,No,48,20,37,348,9,34.0522,-118.2437,CA
9,143,Sneakers,Clothing,237,Chicago,Supplier C,Monthly,1,651.86,-9.1,296,Yes,13,32,18,189,43,41.8781,-87.6298,IL
5,104,T-Shirt,Furniture,93,Houston,Supplier C,Monthly,13,704.95,25.6,237,No,50,17,21,386,20,29.7604,-95.3698,TX
2,186,Sofa,Groceries,5,New York,Supplier D,Quarterly,3,508.57,13.0,241,Yes,12,42,49,41,1,40.7128,-74.006,NY
4,140,Sneakers,Groceries,156,Houston,Supplier A,Monthly,6,153.49,-9.2,80,Yes,62,38,39,173,44,29.7604,-95.3698,TX
7,158,T-Shirt,Clothing,245,Chicago,Supplier B,Monthly,1,846.04,29.7,317,No,83,6,14,469,29,41.8781,-87.6298,IL
8,188,Laptop,Clothing,360,Chicago,Supplier A,Monthly,8,648.81,9.7,71,No,45,1,15,238,17,41.8781,-87.6298,IL
3,153,Laptop,Clothing,81,Chicago,Supplier A,Monthly,14,870.47,9.0,276,No,58,37,49,270,49,41.8781,-87.6298,IL
1,173,Sofa,Footwear,247,Chicago,Supplier D,Quarterly,6,933.64,14.8,224,No,36,4,3,165,8,41.8781,-87.6298,IL
4,121,Sneakers,Clothing,343,Houston,Supplier B,Quarterly,1,807.64,-9.7,273,Yes,62,31,45,130,17,29.7604,-95.3698,TX
2,182,T-Shirt,Electronics,493,New York,Supplier A,Weekly,10,959.07,12.8,229,Yes,58,11,11,5,21,40.7128,-74.006,NY
8,164,T-Shirt,Furniture,137,Chicago,Supplier B,Monthly,2,954.72,15.2,150,Yes,92,17,3,358,25,41.8781,-87.6298,IL
4,163,Laptop,Clothing,386,Phoenix,Supplier A,Quarterly,6,623.15,1.9,363,Yes,10,7,30,130,20,33.4484,-112.074,AZ
2,170,Sofa,Footwear,63,New York,Supplier D,Weekly,10,730.89,19.1,357,Yes,99,35,6,385,25,40.7128,-74.006,NY
6,103,Laptop,Furniture,480,Phoenix,Supplier B,Weekly,14,702.41,5.1,232,No,55,2,6,176,21,33.4484,-112.074,AZ
6,164,Laptop,Groceries,307,Houston,Supplier A,Monthly,8,624.92,18.7,135,Yes,71,40,31,22,13,29.7604,-95.3698,TX
4,114,Sofa,Clothing,116,Chicago,Supplier C,Weekly,5,29.16,-4.2,279,Yes,86,37,22,41,13,41.8781,-87.6298,IL
6,175,Sneakers,Furniture,113,New York,Supplier B,Quarterly,1,362.35,26.5,318,No,75,37,21,153,47,40.7128,-74.006,NY
2,121,T-Shirt,Groceries,31,Chicago,Supplier D,Weekly,14,109.08,25.2,108,No,31,10,38,46,30,41.8781,-87.6298,IL
2,185,Sneakers,Footwear,7,Chicago,Supplier C,Weekly,10,307.26,-4.0,194,No,48,12,38,350,13,41.8781,-87.6298,IL
4,146,Bananas,Electronics,414,New York,Supplier B,Quarterly,2,77.88,27.5,363,Yes,53,17,6,9,40,40.7128,-74.006,NY
8,180,Bananas,Clothing,442,Chicago,Supplier B,Weekly,4,920.83,12.3,148,No,11,46,29,445,7,41.8781,-87.6298,IL
7,192,Bananas,Electronics,3,Chicago,Supplier B,Weekly,4,456.82,18.1,86,No,84,26,46,101,42,41.8781,-87.6298,IL
9,145,Sofa,Footwear,307,Los Angeles,Supplier B,Weekly,7,197.47,23.6,217,No,68,5,11,47,12,34.0522,-118.2437,CA
8,113,Laptop,Furniture,243,Los Angeles,Supplier A,Weekly,2,588.93,-6.7,81,No,99,5,48,330,2,34.0522,-118.2437,CA
5,149,Sneakers,Furniture,56,New York,Supplier A,Monthly,7,204.49,-3.2,101,No,37,38,22,207,14,40.7128,-74.006,NY
2,119,T-Shirt,Footwear,73,New York,Supplier B,Monthly,7,806.4,1.6,270,Yes,99,47,39,241,42,40.7128,-74.006,NY
5,149,Bananas,Footwear,10,Chicago,Supplier D,Quarterly,7,312.86,9.1,353,Yes,90,27,6,3,17,41.8781,-87.6298,IL
8,132,Sneakers,Clothing,61,Phoenix,Supplier A,Weekly,13,321.75,3.8,129,No,76,5,30,264,13,33.4484,-112.074,AZ
9,158,Bananas,Groceries,494,New York,Supplier B,Quarterly,3,871.25,10.2,184,No,23,8,43,409,1,40.7128,-74.006,NY
9,142,Bananas,Electronics,50,Chicago,Supplier B,Monthly,6,563.61,-2.6,88,No,25,31,25,36,47,41.8781,-87.6298,IL
1,178,T-Shirt,Electronics,122,Phoenix,Supplier D,Weekly,12,888.43,17.3,304,No,60,33,36,299,1,33.4484,-112.074,AZ
9,111,Sofa,Furniture,175,Los Angeles,Supplier D,Weekly,6,418.76,-7.8,288,No,37,21,1,243,47,34.0522,-118.2437,CA
7,139,Laptop,Furniture,474,New York,Supplier D,Monthly,4,350.49,4.5,230,No,62,35,22,238,26,40.7128,-74.006,NY
9,119,Sofa,Clothing,1,Chicago,Supplier C,Weekly,1,511.14,-2.8,324,Yes,61,21,9,434,47,41.8781,-87.6298,IL
8,193,Sneakers,Footwear,478,Los Angeles,Supplier B,Weekly,9,70.88,19.2,351,No,34,15,45,319,46,34.0522,-118.2437,CA
1,137,Sofa,Electronics,441,Houston,Supplier D,Monthly,2,162.66,25.3,358,No,66,36,8,469,13,29.7604,-95.3698,TX
8,102,Sneakers,Clothing,38,Los Angeles,Supplier B,Quarterly,9,227.33,-6.8,313,No,18,2,34,418,34,34.0522,-118.2437,CA
8,127,Sneakers,Furniture,190,Chicago,Supplier A,Quarterly,8,818.51,21.4,205,No,20,30,16,219,40,41.8781,-87.6298,IL
3,155,Laptop,Furniture,79,Phoenix,Supplier B,Weekly,1,736.46,25.8,127,Yes,54,28,19,201,9,33.4484,-112.074,AZ
1,189,T-Shirt,Electronics,345,Houston,Supplier B,Monthly,11,201.37,29.0,211,No,94,17,8,394,19,29.7604,-95.3698,TX
8,193,Laptop,Furniture,454,Houston,Supplier C,Quarterly,7,283.98,13.2,301,Yes,11,44,12,27,23,29.7604,-95.3698,TX
3,112,Sofa,Furniture,338,Houston,Supplier A,Quarterly,13,944.82,3.1,64,No,63,20,43,89,41,29.7604,-95.3698,TX
3,176,Sneakers,Groceries,449,New York,Supplier A,Weekly,10,94.94,2.9,360,No,43,40,41,269,28,40.7128,-74.006,NY
1,165,Bananas,Footwear,190,Chicago,Supplier C,Quarterly,3,551.98,5.2,116,No,51,29,31,307,30,41.8781,-87.6298,IL
5,136,Bananas,Furniture,184,Houston,Supplier D,Monthly,10,526.79,14.5,187,No,86,5,42,324,7,29.7604,-95.3698,TX
7,148,Sneakers,Groceries,67,Los Angeles,Supplier D,Quarterly,13,728.45,9.6,354,Yes,78,25,33,124,14,34.0522,-118.2437,CA
9,165,Laptop,Clothing,17,Phoenix,Supplier B,Monthly,10,268.82,16.1,145,No,20,10,19,400,2,33.4484,-112.074,AZ
7,135,T-Shirt,Furniture,383,Chicago,Supplier C,Monthly,14,935.42,-8.4,37,Yes,38,19,27,396,12,41.8781,-87.6298,IL
9,153,Laptop,Clothing,368,Los Angeles,Supplier D,Weekly,14,416.48,-5.8,136,Yes,14,41,24,281,43,34.0522,-118.2437,CA
8,125,Sneakers,Furniture,392,New York,Supplier A,Quarterly,14,292.86,29.1,136,No,29,48,49,496,49,40.7128,-74.006,NY
2,174,Sneakers,Electronics,316,Houston,Supplier C,Weekly,9,343.5,29.8,143,Yes,48,1,28,255,2,29.7604,-95.3698,TX
1,171,T-Shirt,Groceries,497,Los Angeles,Supplier D,Quarterly,5,355.24,19.9,39,Yes,83,47,4,433,28,34.0522,-118.2437,CA
7,139,Sofa,Groceries,296,Chicago,Supplier A,Weekly,11,206.94,0.3,313,No,41,34,12,400,28,41.8781,-87.6298,IL
